2026-03-18T12:56:53.828Z -> Status: waiting, Roll: null
2026-03-18T12:56:54.085Z -> Status: waiting, Roll: null
2026-03-18T12:56:54.339Z -> Status: waiting, Roll: null
2026-03-18T12:56:54.585Z -> Status: waiting, Roll: null
2026-03-18T12:56:54.897Z -> Status: waiting, Roll: null
2026-03-18T12:56:55.134Z -> Status: waiting, Roll: null
2026-03-18T12:56:55.496Z -> Status: waiting, Roll: null
2026-03-18T12:56:55.812Z -> Status: waiting, Roll: null
2026-03-18T12:56:56.049Z -> Status: waiting, Roll: null
2026-03-18T12:56:56.865Z -> Status: waiting, Roll: null
2026-03-18T12:56:56.896Z -> Status: waiting, Roll: null
2026-03-18T12:56:57.216Z -> Status: waiting, Roll: null
2026-03-18T12:56:57.231Z -> Status: waiting, Roll: null
2026-03-18T12:56:57.359Z -> Status: rolling, Roll: 2
2026-03-18T12:56:57.511Z -> Status: rolling, Roll: 2
2026-03-18T12:56:57.741Z -> Status: rolling, Roll: 2
2026-03-18T12:56:57.884Z -> Status: rolling, Roll: 2
2026-03-18T12:56:58.182Z -> Status: rolling, Roll: 2
2026-03-18T12:56:58.422Z -> Status: rolling, Roll: 2
2026-03-18T12:56:58.653Z -> Status: rolling, Roll: 2
2026-03-18T12:56:58.861Z -> Status: rolling, Roll: 2
2026-03-18T12:56:59.313Z -> Status: rolling, Roll: 2
2026-03-18T12:56:59.738Z -> Status: rolling, Roll: 2
2026-03-18T12:56:59.986Z -> Status: rolling, Roll: 2
2026-03-18T12:57:00.454Z -> Status: rolling, Roll: 2
2026-03-18T12:57:00.710Z -> Status: rolling, Roll: 2
2026-03-18T12:57:00.722Z -> Status: rolling, Roll: 2
2026-03-18T12:57:00.791Z -> Status: rolling, Roll: 2
2026-03-18T12:57:00.895Z -> Status: rolling, Roll: 2
2026-03-18T12:57:01.102Z -> Status: rolling, Roll: 2
2026-03-18T12:57:01.373Z -> Status: rolling, Roll: 2
2026-03-18T12:57:01.639Z -> Status: rolling, Roll: 2
2026-03-18T12:57:01.964Z -> Status: rolling, Roll: 2
2026-03-18T12:57:02.231Z -> Status: rolling, Roll: 2
2026-03-18T12:57:02.576Z -> Status: rolling, Roll: 2
